"maxVal"	"cluster"	"correct"	"trueCluster"	"X21Q.AMP"	"SUM.CNAS.C2"	"SUMCNAS.C5"	"X2P16.1.AMP"	"X9P21.3.DEL"	"X18Q.AMP"	"B2M.CD70.PD1.FAS.COM"	"BCL2.COMP"	"TP53.BIALLELIC"	"PI3K.MOD"	"BLC10.NOTCH2.A20.SPEN"	"CHROM.MOD.ENZYMES"	"HIST.COMP"	"NFKBALT.RASALT.JAK.STAT.ALT.RHOA.SGK1.KLH6.CD58.CD83"	"SUMC4.MUT"	"MYD88.L265"	"MYD88.OTHER"	"CD79B.MYD88.TBL1XR1.BLIMP.ETV6.ZC3H12A"
"dlbcl_c_d_1128_nullpair"	0.674	1	TRUE	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
"dlbcl_ls2595"	0.674	1	TRUE	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
"dlbcl_c_d_1155_nullpair"	0.686	1	TRUE	1	0	3	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0
"dlbcl_ricover_575"	0.7112	1	TRUE	1	0	3	1	0	0	0	4	0	0	2	2	0	2	0	4	0	0	0
"dlbcl_ricover_865"	0.737	1	TRUE	1	0	5	2	0	0	0	2	0	1	1	4	0	2	3	5	0	0	0
"dlbcl_c_d_1114_nullpair"	0.7376	1	TRUE	1	0	2	0	0	0	0	2	0	0	0	0	0	4	0	4	0	2	2
"dlbcl_ricover_829"	0.744	1	TRUE	1	0	5	2	0	0	0	2	0	2	0	4	0	1	0	4	0	2	5
"dlbcl_c_d_1154_nullpair"	0.7958	1	TRUE	1	0	4	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
"dlbcl_bwh_dlbcl64"	0.798	5	FALSE	1	0	8	0	2	0	0	0	0	0	0	0	2	6	4	10	0	0	0
"dlbcl_ricover_694"	0.798	1	TRUE	1	0	0	0	0	0	0	2	0	0	0	0	0	2	0	2	0	0	0
"dlbcl_ricover_290"	0.8098	1	TRUE	1	0	2	1	1	0	0	4	0	0	0	3	1	2	0	2	0	2	2
"dlbcl_ricover_478"	0.8216	4	FALSE	1	0	6	4	0	0	1	0	0	0	0	2	0	0	0	0	0	2	2
"dlbcl_ls378"	0.841	1	TRUE	1	0	3	0	0	0	0	2	0	0	0	2	2	3	0	3	0	2	2
"dlbcl_c_d_1132_nullpair"	0.8472	1	TRUE	1	0	1	0	0	0	0	2	0	0	0	2	0	0	2	5	0	0	0
"dlbcl_mayo_dlbcl_5613"	0.8632	1	TRUE	1	0	3	2	0	0	0	2	0	0	0	2	0	0	2	2	0	0	0
"dfcidl010_dt"	0.8858	1	TRUE	1	0	2	0	0	0	0	4	0	0	0	2	0	2	2	4	0	0	0
"dlbcl_c_d_1130_nullpair"	0.9098	1	TRUE	1	0	6	0	0	0	0	2	0	0	0	4	1	2	0	2	0	0	0
"dlbcl_c_d_1123_nullpair"	0.9188	1	TRUE	1	0	6	1	0	0	0	2	0	0	0	4	0	2	0	4	0	0	0
"dlbcl_mc_f927_jhs"	0.2886	4	FALSE	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"dlbcl_mc_f815_bat"	0.3164	2	TRUE	2	0	6	1	2	0	0	0	2	0	0	0	2	1	4	7	0	2	3
"dlbcl_ricover_197"	0.3376	5	FALSE	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
"dlbcl_mayo_dlbcl_234"	0.3476	2	TRUE	2	0	2	0	2	0	0	0	0	0	2	2	4	4	2	6	0	0	4
"dlbcl_ls4619"	0.3766	2	TRUE	2	0	6	0	1	1	0	0	2	0	0	0	0	2	2	4	0	0	2
"dlbcl_ricover_978"	0.399	1	FALSE	2	0	7	1	1	0	0	2	0	0	2	6	4	4	0	6	0	0	0
"dlbcl_ls4593"	0.4114	2	TRUE	2	0	7	0	0	0	0	0	0	0	1	0	2	4	0	4	0	0	0
"dlbcl_ricover_320"	0.4156	2	TRUE	2	1	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
"dlbcl_c_d_1110_nullpair"	0.4258	2	TRUE	2	0	3	2	0	0	1	0	2	0	0	4	2	5	1	6	0	0	0
"dlbcl_ricover_577"	0.442	2	TRUE	2	0	3	4	0	0	2	0	0	0	3	2	6	2	0	2	0	0	0
"dlbcl_mc_f362_mjb1"	0.4752	3	FALSE	2	0	8	0	0	1	0	0	0	1	0	0	4	0	0	2	0	0	2
"dlbcl_mc_f344_cjs"	0.4816	2	TRUE	2	0	6	0	1	0	0	0	2	0	5	0	4	0	6	8	0	2	2
"dlbcl_ricover_384"	0.5058	3	FALSE	2	0	15	0	1	1	0	0	2	0	7	0	4	2	0	2	0	0	0
"dlbcl_ls2325"	0.524	2	TRUE	2	0	10	2	0	0	1	0	2	0	2	2	0	2	0	2	0	0	0
"dlbcl_c_d_1141_nullpair"	0.5464	2	TRUE	2	2	6	3	2	0	2	0	2	0	2	2	4	0	0	0	0	0	0
"dlbcl_mc_f606_dmj"	0.567	3	FALSE	2	1	8	0	0	1	0	0	2	1	1	0	2	0	0	0	0	0	0
"dlbcl_ls762"	0.5724	4	FALSE	2	0	0	2	0	0	1	0	0	0	0	0	2	0	2	2	0	0	0
"dlbcl_ls1395"	0.5792	2	TRUE	2	0	6	0	0	0	0	0	1	3	0	0	4	0	2	2	0	0	0
"dlbcl_ls1098"	0.5804	2	TRUE	2	0	2	1	0	0	0	2	1	0	2	0	4	2	2	4	0	0	0
"dlbcl_ls2305"	0.5972	2	TRUE	2	0	10	0	1	0	0	2	2	1	5	0	2	3	0	5	0	0	0
"dlbcl_ls2599"	0.598	2	TRUE	2	0	4	0	0	0	0	2	2	0	4	0	0	0	2	6	0	0	0
"dlbcl_c_d_1162_nullpair"	0.6032	2	TRUE	2	0	2	0	0	0	0	0	0	0	2	0	2	1	2	3	0	0	0
"dlbcl_ls2245"	0.611	2	TRUE	2	0	11	1	1	0	0	2	2	1	0	0	4	0	4	4	0	0	0
"dlbcl_ricover_111"	0.6198	2	TRUE	2	0	3	2	1	0	1	0	0	0	2	2	2	0	0	0	0	0	1
"dlbcl_ls155"	0.6304	5	FALSE	2	0	0	0	0	0	0	0	2	0	2	0	2	4	4	10	0	0	0
"dlbcl_ricover_269"	0.6444	2	TRUE	2	0	7	2	0	0	1	0	2	0	0	0	2	0	4	4	0	0	0
"dlbcl_ls3615"	0.656	2	TRUE	2	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
"dlbcl_ricover_1046"	0.6778	3	FALSE	2	0	12	3	0	0	1	0	0	3	1	0	4	0	0	0	0	0	0
"dlbcl_ricover_469"	0.6836	2	TRUE	2	0	2	0	0	0	0	2	2	0	2	2	4	0	0	0	0	0	0
"dlbcl_ricover_208"	0.6886	3	FALSE	2	0	13	0	0	1	0	0	1	3	1	0	0	0	2	2	0	0	0
"dlbcl_ricover_216"	0.7186	4	FALSE	2	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"dlbcl_ricover_463"	0.7262	2	TRUE	2	0	3	0	1	0	0	0	0	0	2	0	2	0	2	2	0	0	0
"dfcidl009_dt"	0.7434	2	TRUE	2	1	6	1	1	0	0	0	1	0	2	0	2	0	0	0	0	0	0
"dlbcl_ricover_440"	0.7656	3	FALSE	2	0	15	1	1	1	0	0	2	2	3	0	2	0	2	2	0	0	0
"dlbcl_ls4616"	0.7964	2	TRUE	2	0	6	0	0	0	0	0	2	3	0	0	4	0	4	4	0	0	0
"dlbcl_mc_f358_wds"	0.8638	2	TRUE	2	0	3	0	0	0	0	0	2	0	3	0	4	4	0	4	0	0	0
"dlbcl_ls843"	0.8702	2	TRUE	2	0	6	0	1	0	0	0	2	0	2	0	6	0	2	4	0	0	2
"dlbcl_ls297"	0.8898	2	TRUE	2	0	4	1	0	0	0	0	2	0	3	0	4	2	2	6	0	0	0
"dlbcl_c_d_1113_nullpair"	0.8972	2	TRUE	2	0	2	0	1	0	0	0	0	0	2	0	2	0	0	0	0	0	0
"dlbcl_ls1620"	0.9366	2	TRUE	2	0	1	0	0	0	0	0	2	0	5	0	6	0	0	0	0	0	0
"dlbcl_c_d_1127_nullpair"	0.9788	2	TRUE	2	0	4	0	0	0	0	0	2	0	3	0	4	0	0	0	0	0	0
"dlbcl_mc_f210_gwc"	0.2848	3	TRUE	3	0	7	1	1	0	1	0	0	0	0	0	0	2	2	4	0	0	0
"dlbcl_ls4054"	0.3422	1	FALSE	3	0	3	0	0	1	0	0	0	0	0	0	0	0	2	2	0	0	0
"dlbcl_c_d_1131_nullpair"	0.3482	4	FALSE	3	0	11	0	0	0	0	0	0	2	0	2	2	0	0	0	2	0	4
"dlbcl_ricover_787"	0.3858	5	FALSE	3	0	9	0	0	0	0	0	0	0	2	2	0	0	6	6	0	0	0
"dlbcl_ricover_1210"	0.3896	2	FALSE	3	2	8	0	0	0	0	0	0	3	0	0	4	2	2	4	0	0	0
"dlbcl_c_d_1111_nullpair"	0.4086	2	FALSE	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"dlbcl_ricover_1165"	0.4158	4	FALSE	3	0	6	2	0	0	0	0	0	3	0	0	2	0	0	0	0	2	2
"dlbcl_ricover_780"	0.4338	3	TRUE	3	0	14	3	2	0	0	0	2	3	2	0	2	2	2	4	0	0	0
"dlbcl_ricover_1169"	0.4544	3	TRUE	3	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"dlbcl_ricover_1072"	0.4712	3	TRUE	3	0	19	1	1	1	0	0	0	0	0	0	0	2	4	8	0	2	2
"dlbcl_dfci_dlbcl_goe05"	0.4722	4	FALSE	3	1	5	3	0	0	1	0	0	3	0	0	2	0	0	0	2	0	2
"dlbcl_ls3204"	0.4964	1	FALSE	3	1	9	0	1	0	0	2	0	0	0	0	0	2	2	4	0	0	0
"dlbcl_mc_f959_erm"	0.4982	3	TRUE	3	0	12	6	2	0	2	0	0	2	0	0	2	2	0	2	2	0	2
"dlbcl_ricover_822"	0.5012	3	TRUE	3	0	10	6	1	1	2	0	0	2	0	0	2	2	0	2	0	0	0
"dlbcl_c_d_1118_nullpair"	0.522	3	TRUE	3	0	11	0	2	1	0	0	0	0	0	0	0	0	0	2	0	0	1
"dlbcl_mc_f990_mna"	0.5238	4	FALSE	3	0	20	3	1	1	0	0	0	1	0	1	0	0	2	2	2	0	6
"dlbcl_c_d_1108_nullpair"	0.5282	3	TRUE	3	1	8	6	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0
"dlbcl_ricover_1060"	0.5316	4	FALSE	3	0	4	3	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0
"dlbcl_ls1921"	0.5362	3	TRUE	3	1	20	0	2	0	0	0	0	1	2	0	0	2	4	8	0	0	0
"dlbcl_c_d_1152_nullpair"	0.5398	3	TRUE	3	0	17	1	1	1	0	0	0	1	3	0	0	0	2	2	0	0	2
"dlbcl_ls1668"	0.5646	3	TRUE	3	0	18	3	2	1	1	0	2	3	1	2	2	6	2	12	0	0	0
"dlbcl_dfci_dlbcl_goe07"	0.5668	3	TRUE	3	1	7	2	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0
"dlbcl_ls3309"	0.5678	3	TRUE	3	0	20	2	1	0	0	0	2	3	3	0	4	0	0	0	0	0	0
"dlbcl_c_d_1135_nullpair"	0.568	3	TRUE	3	1	15	4	0	0	1	0	0	2	1	0	2	6	0	6	0	0	0
"dlbcl_ricover_533"	0.5728	3	TRUE	3	1	18	2	1	0	1	0	0	0	2	0	0	0	6	6	0	0	0
"dlbcl_ricover_678"	0.6024	4	FALSE	3	0	4	3	0	0	2	0	0	3	0	2	0	0	0	0	0	0	0
"dlbcl_ls2089"	0.6284	4	FALSE	3	0	15	5	0	0	2	0	0	3	0	0	0	0	0	0	2	0	4
"dlbcl_ls2328"	0.6308	3	TRUE	3	1	16	0	0	0	0	2	0	3	3	0	4	4	0	4	0	0	0
"dlbcl_ricover_299"	0.6414	3	TRUE	3	1	23	3	2	1	1	0	2	1	2	0	4	0	0	0	0	0	1
"dlbcl_ricover_174"	0.6512	3	TRUE	3	1	18	1	0	0	0	2	0	3	1	2	0	0	0	0	0	0	0
"dlbcl_ls2258"	0.6634	3	TRUE	3	0	9	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
"dlbcl_ls88"	0.702	3	TRUE	3	0	10	3	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0
"dlbcl_mc_f089_hcz"	0.72	3	TRUE	3	1	16	1	0	1	0	0	2	2	0	0	2	0	4	4	0	0	2
"dlbcl_ricover_335"	0.7306	3	TRUE	3	1	19	1	2	1	0	0	0	3	0	0	0	4	4	8	0	0	0
"dlbcl_mc_f739_ama3"	0.74	3	TRUE	3	2	21	2	0	1	1	0	2	3	2	0	4	3	2	5	0	0	0
"dlbcl_mc_f729_man"	0.7744	3	TRUE	3	0	7	1	0	1	0	0	0	2	0	0	1	1	0	1	0	0	0
"dlbcl_ls3749"	0.779	3	TRUE	3	1	19	2	2	1	0	0	0	0	1	0	0	2	0	4	0	0	0
"dlbcl_ricover_839"	0.7814	3	TRUE	3	1	8	0	0	1	0	0	0	3	0	0	0	0	2	2	0	0	0
"dlbcl_ricover_325"	0.7904	3	TRUE	3	0	7	1	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0
"dlbcl_ricover_1235"	0.8144	3	TRUE	3	2	18	1	2	0	1	0	2	3	1	2	3	0	0	2	0	0	0
"dlbcl_ls146"	0.819	3	TRUE	3	1	18	5	2	0	1	0	0	3	1	2	0	0	2	2	0	0	0
"dlbcl_ricover_623"	0.8222	3	TRUE	3	1	14	2	2	0	0	0	0	1	0	0	2	0	0	4	0	0	0
"dfcidl003_dt"	0.8424	3	TRUE	3	1	21	1	2	1	0	0	0	3	3	0	2	0	2	2	0	0	0
"dlbcl_ricover_253"	0.8686	3	TRUE	3	0	24	1	1	1	0	0	0	3	0	0	2	0	0	0	0	0	0
"dlbcl_mayo_dlbcl_7359"	0.9284	3	TRUE	3	1	18	6	2	0	1	0	0	3	0	0	0	1	0	3	0	0	0
"dlbcl_ricover_126"	0.9326	3	TRUE	3	2	17	1	2	1	0	0	2	3	2	0	2	0	0	0	0	0	0
"dlbcl_ricover_288"	0.946	3	TRUE	3	1	16	1	2	1	0	0	0	2	0	0	0	2	0	3	0	0	0
"dfcidl008_dt"	0.3164	2	FALSE	4	0	3	0	0	2	0	0	0	0	0	0	2	0	2	2	0	0	2
"dlbcl_c_d_1140_nullpair"	0.3738	4	TRUE	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
"dlbcl_ricover_105"	0.3746	4	TRUE	4	0	4	3	0	1	1	0	0	1	0	2	0	0	0	0	0	0	0
"dlbcl_ricover_1278"	0.3802	4	TRUE	4	0	1	3	0	0	1	0	1	2	0	0	0	7	0	10	0	2	3
"dlbcl_ricover_1204"	0.3926	4	TRUE	4	0	5	3	0	1	2	0	0	0	1	0	2	8	0	10	0	0	6
"dlbcl_ricover_850"	0.4028	4	TRUE	4	1	7	2	1	0	0	0	0	0	0	0	0	0	0	2	0	2	6
"dlbcl_c_d_1163_nullpair"	0.4246	4	TRUE	4	0	0	2	0	0	0	0	0	0	0	0	0	2	2	6	2	0	8
"dlbcl_ricover_506"	0.4274	3	FALSE	4	0	11	5	1	1	1	0	0	0	1	0	0	0	0	0	0	0	2
"dlbcl_ricover_704"	0.4494	4	TRUE	4	0	1	5	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
"dlbcl_ls1683"	0.4924	4	TRUE	4	0	6	6	1	0	2	0	0	2	0	0	2	0	2	2	0	0	2
"dlbcl_ls148"	0.5042	4	TRUE	4	0	2	2	0	0	2	0	0	0	0	0	0	0	2	2	0	0	3
"dlbcl_mc_f089_mlb"	0.5124	4	TRUE	4	0	1	4	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0
"dlbcl_ricover_215"	0.5306	4	TRUE	4	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
"dlbcl_ricover_173"	0.534	4	TRUE	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	2	0	6
"dlbcl_ricover_467"	0.5562	4	TRUE	4	0	9	8	0	0	2	0	0	3	0	0	2	0	0	0	0	0	6
"dlbcl_ricover_1032"	0.5622	3	FALSE	4	0	11	4	0	0	0	0	0	3	0	0	0	2	2	4	2	0	6
"dlbcl_ls2208"	0.5688	2	FALSE	4	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"dlbcl_c_d_1105_nullpair"	0.5692	1	FALSE	4	0	4	2	0	0	0	0	0	1	0	4	2	1	0	1	0	0	2
"dlbcl_ricover_1106"	0.6364	4	TRUE	4	0	5	8	0	0	2	0	0	0	0	0	0	4	0	8	2	0	6
"dlbcl_ricover_763"	0.6428	4	TRUE	4	0	9	4	0	0	1	0	0	1	0	0	0	0	2	2	0	0	2
"dlbcl_mc_f339_jps2"	0.6446	4	TRUE	4	0	2	4	0	0	1	2	0	0	0	0	0	1	0	1	0	0	4
"dlbcl_ricover_431"	0.6578	4	TRUE	4	0	6	3	0	0	0	0	0	0	0	0	0	2	2	8	2	0	4
"dlbcl_c_d_1104_nullpair"	0.661	4	TRUE	4	0	4	3	0	0	1	0	0	3	0	0	0	0	0	0	2	0	4
"dlbcl_ricover_224"	0.6644	4	TRUE	4	0	3	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	4
"dlbcl_mc_f519_alt"	0.6652	4	TRUE	4	0	1	5	0	1	1	0	0	0	0	2	0	0	0	0	0	0	2
"dlbcl_ricover_1287"	0.672	4	TRUE	4	0	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"dlbcl_ricover_1248"	0.6878	4	TRUE	4	0	6	9	0	0	2	0	0	0	0	2	0	0	2	2	2	0	4
"dlbcl_c_d_1120_nullpair"	0.6882	4	TRUE	4	0	3	2	0	0	1	0	0	0	0	0	2	0	0	0	0	0	2
"dlbcl_ricover_773"	0.7328	4	TRUE	4	0	4	3	0	0	1	0	0	0	0	0	4	0	0	0	2	0	4
"dlbcl_c_d_1142_nullpair"	0.733	4	TRUE	4	0	3	6	0	0	2	0	0	1	0	0	0	0	2	2	0	0	0
"dlbcl_c_d_1144_nullpair"	0.7408	4	TRUE	4	0	1	3	0	0	1	0	0	2	0	0	0	1	2	3	0	0	4
"dlbcl_ricover_685"	0.7464	4	TRUE	4	0	6	1	0	0	0	0	0	0	0	0	0	0	0	2	2	0	8
"dlbcl_ricover_1190"	0.7706	4	TRUE	4	0	2	4	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0
"dlbcl_c_d_1125_nullpair"	0.7796	4	TRUE	4	0	3	6	0	0	1	0	1	0	0	0	0	0	0	2	2	0	6
"dlbcl_ricover_583"	0.8178	4	TRUE	4	0	4	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"dlbcl_ricover_1293"	0.8314	4	TRUE	4	0	3	2	0	0	1	0	0	0	0	0	0	0	0	2	2	0	8
"dlbcl_ricover_99"	0.8352	4	TRUE	4	0	1	4	0	0	1	0	0	0	0	2	0	0	0	0	0	2	4
"dlbcl_c_d_1166_nullpair"	0.8428	4	TRUE	4	0	4	9	0	0	2	0	0	3	0	0	2	0	0	0	0	0	4
"dlbcl_ricover_712"	0.8454	4	TRUE	4	0	2	5	0	0	1	0	0	0	0	0	0	2	0	2	0	0	2
"dlbcl_ricover_720"	0.8606	4	TRUE	4	0	6	6	0	0	1	0	0	0	0	0	0	0	0	0	2	0	6
"dlbcl_ls4085"	0.8608	4	TRUE	4	0	4	4	0	0	1	0	0	0	0	0	2	0	0	1	0	0	2
"dlbcl_ricover_1257"	0.8622	4	TRUE	4	0	2	5	0	1	2	0	0	0	0	0	0	2	0	2	0	0	2
"dlbcl_ricover_585"	0.8852	4	TRUE	4	0	5	7	0	1	1	0	0	0	0	0	0	0	2	3	2	0	6
"dlbcl_ls1304"	0.9008	4	TRUE	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
"dlbcl_ricover_417"	0.9168	4	TRUE	4	0	4	3	0	0	1	0	0	0	0	0	0	0	0	0	2	0	6
"dlbcl_ricover_134"	0.9192	4	TRUE	4	0	5	8	0	0	2	0	0	1	0	0	2	0	2	2	2	0	4
"dlbcl_ricover_543"	0.9506	4	TRUE	4	0	2	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"dlbcl_ricover_1081"	0.3538	1	FALSE	5	0	3	0	0	0	0	2	0	0	1	2	4	1	2	7	0	0	2
"dlbcl_ls2264"	0.3654	4	FALSE	5	0	0	2	0	0	1	0	0	0	0	0	0	4	2	6	0	0	2
"dlbcl_ricover_151"	0.375	5	TRUE	5	1	9	1	1	0	0	0	0	3	2	0	0	4	2	11	0	0	0
"dlbcl_ls951"	0.3836	1	FALSE	5	1	5	0	1	0	0	2	0	0	1	0	0	0	6	6	0	0	0
"dlbcl_ricover_102"	0.4056	5	TRUE	5	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0
"dlbcl_ricover_711"	0.4272	5	TRUE	5	0	11	0	2	0	0	0	0	1	0	0	0	6	2	10	0	0	0
"dlbcl_ls3387"	0.4768	2	FALSE	5	0	2	0	0	0	0	2	2	0	4	1	2	10	4	16	0	0	0
"dlbcl_ricover_1018"	0.4774	3	FALSE	5	0	15	3	1	0	0	0	0	1	1	0	0	5	6	13	0	0	0
"dlbcl_ricover_408"	0.507	3	FALSE	5	2	7	2	2	0	0	0	0	0	2	0	0	0	2	4	0	0	0
"dlbcl_ricover_617"	0.5178	5	TRUE	5	1	5	0	2	0	0	2	0	0	2	2	0	4	2	10	0	0	0
"dlbcl_c_d_1138_nullpair"	0.5342	4	FALSE	5	0	3	4	0	0	1	0	0	0	4	0	0	4	0	4	0	0	0
"dlbcl_mayo_dlbcl_3653"	0.5356	4	FALSE	5	0	1	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	2
"dlbcl_ricover_342"	0.5442	2	FALSE	5	0	1	0	0	0	0	0	0	0	2	0	0	0	2	4	0	0	0
"dlbcl_ricover_597"	0.5458	4	FALSE	5	0	4	2	0	0	1	0	0	1	0	0	0	8	2	12	2	0	6
"dlbcl_ricover_866"	0.554	2	FALSE	5	0	10	0	2	0	0	0	2	0	8	0	6	6	8	20	0	0	0
"dlbcl_ricover_1299"	0.5904	5	TRUE	5	0	3	2	0	0	1	0	0	0	0	0	0	2	2	8	0	0	2
"dlbcl_c_d_1153_nullpair"	0.6084	5	TRUE	5	0	7	2	0	0	1	0	0	0	0	0	0	8	2	10	0	0	0
"dlbcl_ls1899"	0.616	5	TRUE	5	0	2	0	0	0	0	0	0	0	0	0	0	1	2	7	0	0	0
"dlbcl_ls2590"	0.6396	5	TRUE	5	0	2	1	0	0	0	0	0	0	0	0	2	3	4	11	0	0	0
"dlbcl_ricover_274"	0.6406	5	TRUE	5	0	6	0	0	0	0	0	0	2	0	0	0	10	2	14	2	0	2
"dlbcl_ricover_1045"	0.6426	5	TRUE	5	0	2	2	0	0	0	2	0	0	0	0	0	2	6	10	0	2	2
"dlbcl_c_d_1151_nullpair"	0.6532	5	TRUE	5	1	3	0	0	0	0	2	0	3	4	0	0	3	8	13	0	0	1
"dlbcl_ls3499"	0.6828	5	TRUE	5	0	3	0	2	0	0	2	0	0	0	0	0	5	2	7	0	0	0
"dlbcl_mc_f139_ljf"	0.7004	5	TRUE	5	1	6	0	1	0	0	2	0	0	0	0	2	4	14	23	0	0	2
"dlbcl_dfci_dlbcl_goe08"	0.7136	5	TRUE	5	0	1	0	0	0	0	4	0	0	0	2	0	4	4	10	0	0	0
"dlbcl_c_d_1148_nullpair"	0.7184	5	TRUE	5	0	4	0	2	0	0	2	0	0	4	0	0	2	9	12	0	0	0
"dlbcl_ricover_692"	0.722	5	TRUE	5	0	6	1	2	0	0	2	0	0	2	2	0	7	4	17	0	0	2
"dlbcl_ls3808"	0.7264	5	TRUE	5	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0
"dlbcl_ricover_148"	0.7338	5	TRUE	5	0	5	0	0	0	0	0	0	1	0	0	0	0	6	8	0	0	0
"dlbcl_ricover_950"	0.763	5	TRUE	5	0	0	0	0	0	0	0	0	0	2	0	0	3	4	9	0	0	0
