"maxVal"	"cluster"	"correct"	"trueCluster"	"X21Q.AMP"	"SUM.CNAS.C2"	"SUMCNAS.C5"	"X2P16.1.AMP"	"X9P21.3.DEL"	"X18Q.AMP"	"B2M.CD70.PD1.FAS.COM"	"BCL2.COMP"	"TP53.BIALLELIC"	"PI3K.MOD"	"BLC10.NOTCH2.A20.SPEN"	"CHROM.MOD.ENZYMES"	"HIST.COMP"	"NFKBALT.RASALT.JAK.STAT.ALT.RHOA.SGK1.KLH6.CD58.CD83"	"SUMC4.MUT"	"MYD88.L265"	"MYD88.OTHER"	"CD79B.MYD88.TBL1XR1.BLIMP.ETV6.ZC3H12A"
"dlbcl_ricover_120"	0.623073203339323	1	TRUE	1	0	4	2	0	0	0	2	0	0	0	2	2	0	0	0	0	0	2
"dlbcl_c_d_1105_nullpair"	0.632465314671277	1	FALSE	4	0	4	2	0	0	0	0	0	1	0	4	2	1	0	1	0	0	2
"dlbcl_c_d_1114_nullpair"	0.639349361636813	1	TRUE	1	0	2	0	0	0	0	2	0	0	0	0	0	4	0	4	0	2	2
"dlbcl_ricover_978"	0.667621927443603	1	FALSE	2	0	7	1	1	0	0	2	0	0	2	6	4	4	0	6	0	0	0
"dlbcl_ricover_829"	0.701568519107597	1	TRUE	1	0	5	2	0	0	0	2	0	2	0	4	0	1	0	4	0	2	5
"dlbcl_ricover_865"	0.705242485202044	1	TRUE	1	0	5	2	0	0	0	2	0	1	1	4	0	2	3	5	0	0	0
"dlbcl_ls1757"	0.755924201481757	1	TRUE	1	0	7	0	0	0	0	4	0	1	0	2	2	0	4	4	0	2	2
"dlbcl_ricover_473"	0.764864965464752	1	TRUE	1	0	4	2	0	0	0	0	0	0	0	6	2	2	0	4	0	0	2
"dlbcl_ls2978"	0.778941135610657	1	TRUE	1	0	6	0	2	0	0	4	0	2	0	0	0	4	0	4	0	2	2
"dfcidl004_dt"	0.791902033738206	1	TRUE	1	0	0	0	0	0	0	0	0	0	0	4	0	2	0	2	0	0	4
"dfcidl010_dt"	0.794845312839935	1	TRUE	1	0	2	0	0	0	0	4	0	0	0	2	0	2	2	4	0	0	0
"dlbcl_mayo_dlbcl_5613"	0.796754609645334	1	TRUE	1	0	3	2	0	0	0	2	0	0	0	2	0	0	2	2	0	0	0
"dlbcl_c_d_1123_nullpair"	0.818519541492919	1	TRUE	1	0	6	1	0	0	0	2	0	0	0	4	0	2	0	4	0	0	0
"dlbcl_ls378"	0.834308252935201	1	TRUE	1	0	3	0	0	0	0	2	0	0	0	2	2	3	0	3	0	2	2
"dlbcl_c_d_1130_nullpair"	0.870297433707923	1	TRUE	1	0	6	0	0	0	0	2	0	0	0	4	1	2	0	2	0	0	0
"dlbcl_ricover_575"	0.907558408179315	1	TRUE	1	0	3	1	0	0	0	4	0	0	2	2	0	2	0	4	0	0	0
"dlbcl_c_d_1128_nullpair"	1	1	TRUE	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
"dlbcl_ricover_290"	1	1	TRUE	1	0	2	1	1	0	0	4	0	0	0	3	1	2	0	2	0	2	2
"dlbcl_ls2595"	1	1	TRUE	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
"dlbcl_ricover_269"	0.38321029157065	2	TRUE	2	0	7	2	0	0	1	0	2	0	0	0	2	0	4	4	0	0	0
"dlbcl_ricover_111"	0.426613987365679	2	TRUE	2	0	3	2	1	0	1	0	0	0	2	2	2	0	0	0	0	0	1
"dlbcl_c_d_1112_nullpair"	0.433965843172231	2	FALSE	1	1	3	2	0	0	0	2	0	0	0	0	2	0	2	2	0	0	0
"dlbcl_ls2328"	0.437534512126423	2	FALSE	3	1	16	0	0	0	0	2	0	3	3	0	4	4	0	4	0	0	0
"dlbcl_ls4593"	0.466551665950678	2	TRUE	2	0	7	0	0	0	0	0	0	0	1	0	2	4	0	4	0	0	0
"dlbcl_ls2245"	0.515834142007175	2	TRUE	2	0	11	1	1	0	0	2	2	1	0	0	4	0	4	4	0	0	0
"dlbcl_ricover_1210"	0.532996528049549	2	FALSE	3	2	8	0	0	0	0	0	0	3	0	0	4	2	2	4	0	0	0
"dlbcl_ricover_866"	0.536053520497749	2	FALSE	5	0	10	0	2	0	0	0	2	0	8	0	6	6	8	20	0	0	0
"dlbcl_mc_f362_mjb1"	0.545219073916214	2	TRUE	2	0	8	0	0	1	0	0	0	1	0	0	4	0	0	2	0	0	2
"dlbcl_ricover_320"	0.565984543263298	2	TRUE	2	1	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
"dfcidl008_dt"	0.56629269224878	2	FALSE	4	0	3	0	0	2	0	0	0	0	0	0	2	0	2	2	0	0	2
"dlbcl_ls2599"	0.592336189692206	2	TRUE	2	0	4	0	0	0	0	2	2	0	4	0	0	0	2	6	0	0	0
"dlbcl_ricover_384"	0.668609167280379	2	TRUE	2	0	15	0	1	1	0	0	2	0	7	0	4	2	0	2	0	0	0
"dlbcl_ls2305"	0.679247010590365	2	TRUE	2	0	10	0	1	0	0	2	2	1	5	0	2	3	0	5	0	0	0
"dlbcl_c_d_1162_nullpair"	0.700608188131674	2	TRUE	2	0	2	0	0	0	0	0	0	0	2	0	2	1	2	3	0	0	0
"dlbcl_ricover_469"	0.705213509271209	2	TRUE	2	0	2	0	0	0	0	2	2	0	2	2	4	0	0	0	0	0	0
"dlbcl_ricover_577"	0.709189738797632	2	TRUE	2	0	3	4	0	0	2	0	0	0	3	2	6	2	0	2	0	0	0
"dlbcl_ls4616"	0.712877066443625	2	TRUE	2	0	6	0	0	0	0	0	2	3	0	0	4	0	4	4	0	0	0
"dlbcl_ls297"	0.718913059948243	2	TRUE	2	0	4	1	0	0	0	0	2	0	3	0	4	2	2	6	0	0	0
"dlbcl_mc_f344_cjs"	0.731230265311146	2	TRUE	2	0	6	0	1	0	0	0	2	0	5	0	4	0	6	8	0	2	2
"dlbcl_c_d_1141_nullpair"	0.733678078978602	2	TRUE	2	2	6	3	2	0	2	0	2	0	2	2	4	0	0	0	0	0	0
"dlbcl_ls1098"	0.748539756194879	2	TRUE	2	0	2	1	0	0	0	2	1	0	2	0	4	2	2	4	0	0	0
"dlbcl_ls1395"	0.769892941113123	2	TRUE	2	0	6	0	0	0	0	0	1	3	0	0	4	0	2	2	0	0	0
"dlbcl_mc_f358_wds"	0.846956726504056	2	TRUE	2	0	3	0	0	0	0	0	2	0	3	0	4	4	0	4	0	0	0
"dlbcl_ls843"	0.908140841532191	2	TRUE	2	0	6	0	1	0	0	0	2	0	2	0	6	0	2	4	0	0	2
"dlbcl_ricover_463"	0.950880599636911	2	TRUE	2	0	3	0	1	0	0	0	0	0	2	0	2	0	2	2	0	0	0
"dlbcl_ls3615"	0.998836316570394	2	TRUE	2	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
"dlbcl_c_d_1113_nullpair"	1	2	TRUE	2	0	2	0	1	0	0	0	0	0	2	0	2	0	0	0	0	0	0
"dlbcl_c_d_1127_nullpair"	1	2	TRUE	2	0	4	0	0	0	0	0	2	0	3	0	4	0	0	0	0	0	0
"dlbcl_ls1620"	1	2	TRUE	2	0	1	0	0	0	0	0	2	0	5	0	6	0	0	0	0	0	0
"dlbcl_ricover_787"	0.389696387263693	3	TRUE	3	0	9	0	0	0	0	0	0	0	2	2	0	0	6	6	0	0	0
"dlbcl_ls1668"	0.419628052112085	3	TRUE	3	0	18	3	2	1	1	0	2	3	1	2	2	6	2	12	0	0	0
"dlbcl_ls4619"	0.44199077486841	3	FALSE	2	0	6	0	1	1	0	0	2	0	0	0	0	2	2	4	0	0	2
"dlbcl_c_d_1146_nullpair"	0.493235055128525	3	FALSE	1	0	6	0	2	0	0	1	0	0	0	0	0	1	2	5	0	0	0
"dfcidl009_dt"	0.510907792827426	3	FALSE	2	1	6	1	1	0	0	0	1	0	2	0	2	0	0	0	0	0	0
"dlbcl_ricover_197"	0.524685813992793	3	FALSE	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
"dlbcl_ls2325"	0.526367753900281	3	FALSE	2	0	10	2	0	0	1	0	2	0	2	2	0	2	0	2	0	0	0
"dlbcl_c_d_1135_nullpair"	0.529063534424537	3	TRUE	3	1	15	4	0	0	1	0	0	2	1	0	2	6	0	6	0	0	0
"dlbcl_ls4054"	0.540486039328891	3	TRUE	3	0	3	0	0	1	0	0	0	0	0	0	0	0	2	2	0	0	0
"dlbcl_ls3204"	0.548948800362823	3	TRUE	3	1	9	0	1	0	0	2	0	0	0	0	0	2	2	4	0	0	0
"dlbcl_ricover_780"	0.563693168260584	3	TRUE	3	0	14	3	2	0	0	0	2	3	2	0	2	2	2	4	0	0	0
"dlbcl_mc_f739_ama3"	0.570007511423072	3	TRUE	3	2	21	2	0	1	1	0	2	3	2	0	4	3	2	5	0	0	0
"dlbcl_ricover_408"	0.57651532913536	3	FALSE	5	2	7	2	2	0	0	0	0	0	2	0	0	0	2	4	0	0	0
"dlbcl_mc_f210_gwc"	0.600194706566577	3	TRUE	3	0	7	1	1	0	1	0	0	0	0	0	0	2	2	4	0	0	0
"dlbcl_c_d_1154_nullpair"	0.635102443841898	3	FALSE	1	0	4	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
"dlbcl_ricover_1046"	0.643625872496837	3	FALSE	2	0	12	3	0	0	1	0	0	3	1	0	4	0	0	0	0	0	0
"dlbcl_mc_f990_mna"	0.646062015555984	3	TRUE	3	0	20	3	1	1	0	0	0	1	0	1	0	0	2	2	2	0	6
"dlbcl_ricover_440"	0.664319174400712	3	FALSE	2	0	15	1	1	1	0	0	2	2	3	0	2	0	2	2	0	0	0
"dlbcl_mc_f606_dmj"	0.66437852847329	3	FALSE	2	1	8	0	0	1	0	0	2	1	1	0	2	0	0	0	0	0	0
"dlbcl_c_d_1131_nullpair"	0.669331802414855	3	TRUE	3	0	11	0	0	0	0	0	0	2	0	2	2	0	0	0	2	0	4
"dlbcl_ls3309"	0.686034936429218	3	TRUE	3	0	20	2	1	0	0	0	2	3	3	0	4	0	0	0	0	0	0
"dlbcl_ricover_1072"	0.715076727197484	3	TRUE	3	0	19	1	1	1	0	0	0	0	0	0	0	2	4	8	0	2	2
"dlbcl_mayo_dlbcl_7359"	0.72197782809355	3	TRUE	3	1	18	6	2	0	1	0	0	3	0	0	0	1	0	3	0	0	0
"dlbcl_ricover_1235"	0.734079209208217	3	TRUE	3	2	18	1	2	0	1	0	2	3	1	2	3	0	0	2	0	0	0
"dlbcl_ricover_335"	0.736819361619902	3	TRUE	3	1	19	1	2	1	0	0	0	3	0	0	0	4	4	8	0	0	0
"dlbcl_ls1921"	0.749095047146952	3	TRUE	3	1	20	0	2	0	0	0	0	1	2	0	0	2	4	8	0	0	0
"dlbcl_mc_f089_hcz"	0.750392307465716	3	TRUE	3	1	16	1	0	1	0	0	2	2	0	0	2	0	4	4	0	0	2
"dlbcl_ricover_533"	0.786026998593366	3	TRUE	3	1	18	2	1	0	1	0	0	0	2	0	0	0	6	6	0	0	0
"dlbcl_dfci_dlbcl_goe07"	0.800072076090563	3	TRUE	3	1	7	2	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0
"dlbcl_ricover_299"	0.811053808504269	3	TRUE	3	1	23	3	2	1	1	0	2	1	2	0	4	0	0	0	0	0	1
"dfcidl003_dt"	0.834052934263826	3	TRUE	3	1	21	1	2	1	0	0	0	3	3	0	2	0	2	2	0	0	0
"dlbcl_ricover_623"	0.871589842718112	3	TRUE	3	1	14	2	2	0	0	0	0	1	0	0	2	0	0	4	0	0	0
"dlbcl_ls88"	0.876997909390439	3	TRUE	3	0	10	3	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0
"dlbcl_ls146"	0.892019824491057	3	TRUE	3	1	18	5	2	0	1	0	0	3	1	2	0	0	2	2	0	0	0
"dlbcl_ricover_839"	0.926665940314959	3	TRUE	3	1	8	0	0	1	0	0	0	3	0	0	0	0	2	2	0	0	0
"dlbcl_ricover_174"	0.935579873470529	3	TRUE	3	1	18	1	0	0	0	2	0	3	1	2	0	0	0	0	0	0	0
"dlbcl_c_d_1152_nullpair"	0.94310729480134	3	TRUE	3	0	17	1	1	1	0	0	0	1	3	0	0	0	2	2	0	0	2
"dlbcl_c_d_1118_nullpair"	0.997419353714777	3	TRUE	3	0	11	0	2	1	0	0	0	0	0	0	0	0	0	2	0	0	1
"dlbcl_ls3749"	0.998442108300164	3	TRUE	3	1	19	2	2	1	0	0	0	0	1	0	0	2	0	4	0	0	0
"dlbcl_mc_f729_man"	0.999810558405362	3	TRUE	3	0	7	1	0	1	0	0	0	2	0	0	1	1	0	1	0	0	0
"dlbcl_ricover_126"	0.999842848409506	3	TRUE	3	2	17	1	2	1	0	0	2	3	2	0	2	0	0	0	0	0	0
"dlbcl_ricover_288"	0.999999995796581	3	TRUE	3	1	16	1	2	1	0	0	0	2	0	0	0	2	0	3	0	0	0
"dlbcl_ricover_208"	0.999999999998986	3	FALSE	2	0	13	0	0	1	0	0	1	3	1	0	0	0	2	2	0	0	0
"dlbcl_ricover_253"	1	3	TRUE	3	0	24	1	1	1	0	0	0	3	0	0	2	0	0	0	0	0	0
"dlbcl_ls2258"	1	3	TRUE	3	0	9	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
"dlbcl_mc_f927_jhs"	1	3	FALSE	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"dlbcl_ricover_1169"	1	3	TRUE	3	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"dlbcl_c_d_1111_nullpair"	1	3	TRUE	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"dlbcl_ricover_325"	1	3	TRUE	3	0	7	1	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0
"dlbcl_ricover_1150"	0.398050230535828	4	FALSE	1	1	4	2	0	0	1	2	0	0	0	0	0	1	2	3	0	0	2
"dlbcl_c_d_1138_nullpair"	0.445400782695112	4	FALSE	5	0	3	4	0	0	1	0	0	0	4	0	0	4	0	4	0	0	0
"dlbcl_ricover_506"	0.510418489790849	4	TRUE	4	0	11	5	1	1	1	0	0	0	1	0	0	0	0	0	0	0	2
"dlbcl_ls2089"	0.515321820594407	4	FALSE	3	0	15	5	0	0	2	0	0	3	0	0	0	0	0	0	2	0	4
"dlbcl_ricover_763"	0.518419384064733	4	TRUE	4	0	9	4	0	0	1	0	0	1	0	0	0	0	2	2	0	0	2
"dlbcl_ricover_1165"	0.523994987500708	4	FALSE	3	0	6	2	0	0	0	0	0	3	0	0	2	0	0	0	0	2	2
"dlbcl_ricover_822"	0.524661965525841	4	FALSE	3	0	10	6	1	1	2	0	0	2	0	0	2	2	0	2	0	0	0
"dlbcl_ricover_678"	0.527348296571077	4	FALSE	3	0	4	3	0	0	2	0	0	3	0	2	0	0	0	0	0	0	0
"dlbcl_c_d_1108_nullpair"	0.542761567589143	4	FALSE	3	1	8	6	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0
"dlbcl_ls762"	0.554947204123549	4	FALSE	2	0	0	2	0	0	1	0	0	0	0	0	2	0	2	2	0	0	0
"dlbcl_ricover_1060"	0.555031853299682	4	FALSE	3	0	4	3	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0
"dlbcl_ricover_431"	0.568957137032638	4	TRUE	4	0	6	3	0	0	0	0	0	0	0	0	0	2	2	8	2	0	4
"dlbcl_ricover_1204"	0.578188616704542	4	TRUE	4	0	5	3	0	1	2	0	0	0	1	0	2	8	0	10	0	0	6
"dlbcl_mc_f959_erm"	0.585396729928842	4	FALSE	3	0	12	6	2	0	2	0	0	2	0	0	2	2	0	2	2	0	2
"dlbcl_ricover_850"	0.601278181012958	4	TRUE	4	1	7	2	1	0	0	0	0	0	0	0	0	0	0	2	0	2	6
"dlbcl_ricover_1032"	0.6086874135051	4	TRUE	4	0	11	4	0	0	0	0	0	3	0	0	0	2	2	4	2	0	6
"dlbcl_ricover_105"	0.61053423126264	4	TRUE	4	0	4	3	0	1	1	0	0	1	0	2	0	0	0	0	0	0	0
"dlbcl_c_d_1120_nullpair"	0.691150154634074	4	TRUE	4	0	3	2	0	0	1	0	0	0	0	0	2	0	0	0	0	0	2
"dlbcl_c_d_1163_nullpair"	0.701549237507439	4	TRUE	4	0	0	2	0	0	0	0	0	0	0	0	0	2	2	6	2	0	8
"dlbcl_dfci_dlbcl_goe05"	0.720079590454648	4	FALSE	3	1	5	3	0	0	1	0	0	3	0	0	2	0	0	0	2	0	2
"dlbcl_ricover_478"	0.722786242043197	4	FALSE	1	0	6	4	0	0	1	0	0	0	0	2	0	0	0	0	0	2	2
"dlbcl_ricover_583"	0.75047497194789	4	TRUE	4	0	4	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"dlbcl_ls1683"	0.754052279228755	4	TRUE	4	0	6	6	1	0	2	0	0	2	0	0	2	0	2	2	0	0	2
"dlbcl_ricover_685"	0.755274252122693	4	TRUE	4	0	6	1	0	0	0	0	0	0	0	0	0	0	0	2	2	0	8
"dlbcl_ricover_773"	0.761408626121809	4	TRUE	4	0	4	3	0	0	1	0	0	0	0	0	4	0	0	0	2	0	4
"dlbcl_ls4085"	0.767627770284654	4	TRUE	4	0	4	4	0	0	1	0	0	0	0	0	2	0	0	1	0	0	2
"dlbcl_ricover_1190"	0.785968690792963	4	TRUE	4	0	2	4	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0
"dlbcl_ls3809"	0.787147025174958	4	FALSE	1	1	3	2	0	0	1	2	0	0	0	0	0	0	0	0	0	0	4
"dlbcl_c_d_1144_nullpair"	0.808406019971902	4	TRUE	4	0	1	3	0	0	1	0	0	2	0	0	0	1	2	3	0	0	4
"dlbcl_ricover_1106"	0.809186883761659	4	TRUE	4	0	5	8	0	0	2	0	0	0	0	0	0	4	0	8	2	0	6
"dlbcl_mc_f089_mlb"	0.814726209972047	4	TRUE	4	0	1	4	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0
"dlbcl_ls148"	0.843297174807454	4	TRUE	4	0	2	2	0	0	2	0	0	0	0	0	0	0	2	2	0	0	3
"dlbcl_ricover_173"	0.853551566327015	4	TRUE	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	2	0	6
"dlbcl_c_d_1142_nullpair"	0.868845432105089	4	TRUE	4	0	3	6	0	0	2	0	0	1	0	0	0	0	2	2	0	0	0
"dlbcl_c_d_1104_nullpair"	0.878484294698548	4	TRUE	4	0	4	3	0	0	1	0	0	3	0	0	0	0	0	0	2	0	4
"dlbcl_ricover_467"	0.891420485942347	4	TRUE	4	0	9	8	0	0	2	0	0	3	0	0	2	0	0	0	0	0	6
"dlbcl_mc_f339_jps2"	0.926859917484215	4	TRUE	4	0	2	4	0	0	1	2	0	0	0	0	0	1	0	1	0	0	4
"dlbcl_ricover_134"	0.929176603974408	4	TRUE	4	0	5	8	0	0	2	0	0	1	0	0	2	0	2	2	2	0	4
"dlbcl_ls2208"	0.929284205393839	4	TRUE	4	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"dlbcl_ricover_1257"	0.932655261496118	4	TRUE	4	0	2	5	0	1	2	0	0	0	0	0	0	2	0	2	0	0	2
"dlbcl_ricover_1248"	0.939486496488731	4	TRUE	4	0	6	9	0	0	2	0	0	0	0	2	0	0	2	2	2	0	4
"dlbcl_ricover_712"	0.941093472176126	4	TRUE	4	0	2	5	0	0	1	0	0	0	0	0	0	2	0	2	0	0	2
"dlbcl_ricover_720"	0.942238352184878	4	TRUE	4	0	6	6	0	0	1	0	0	0	0	0	0	0	0	0	2	0	6
"dlbcl_ricover_585"	0.971966020273071	4	TRUE	4	0	5	7	0	1	1	0	0	0	0	0	0	0	2	3	2	0	6
"dlbcl_ricover_543"	0.973146164477409	4	TRUE	4	0	2	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"dlbcl_ricover_417"	0.980342625997757	4	TRUE	4	0	4	3	0	0	1	0	0	0	0	0	0	0	0	0	2	0	6
"dlbcl_ricover_1287"	0.999998994356694	4	TRUE	4	0	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"dlbcl_ricover_224"	0.999999999870277	4	TRUE	4	0	3	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	4
"dlbcl_ricover_99"	0.999999999892542	4	TRUE	4	0	1	4	0	0	1	0	0	0	0	2	0	0	0	0	0	2	4
"dlbcl_c_d_1125_nullpair"	1	4	TRUE	4	0	3	6	0	0	1	0	1	0	0	0	0	0	0	2	2	0	6
"dlbcl_mc_f519_alt"	1	4	TRUE	4	0	1	5	0	1	1	0	0	0	0	2	0	0	0	0	0	0	2
"dlbcl_c_d_1140_nullpair"	1	4	TRUE	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
"dlbcl_ricover_1293"	1	4	TRUE	4	0	3	2	0	0	1	0	0	0	0	0	0	0	0	2	2	0	8
"dlbcl_ricover_215"	1	4	TRUE	4	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
"dlbcl_ricover_216"	1	4	FALSE	2	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"dlbcl_c_d_1166_nullpair"	1	4	TRUE	4	0	4	9	0	0	2	0	0	3	0	0	2	0	0	0	0	0	4
"dlbcl_ls1304"	1	4	TRUE	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
"dlbcl_ricover_704"	1	4	TRUE	4	0	1	5	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
"dlbcl_mc_f648_jkw"	0.30226151613253	5	FALSE	1	0	4	2	0	0	0	2	0	2	0	0	0	0	2	4	0	0	0
"dlbcl_ls2367"	0.342542281676877	5	FALSE	1	0	5	2	0	0	1	2	0	0	2	0	0	1	4	5	0	0	2
"dlbcl_mc_f815_bat"	0.353913822956706	5	FALSE	2	0	6	1	2	0	0	0	2	0	0	0	2	1	4	7	0	2	3
"dlbcl_mayo_dlbcl_234"	0.364744088385578	5	FALSE	2	0	2	0	2	0	0	0	0	0	2	2	4	4	2	6	0	0	4
"dlbcl_ricover_617"	0.466817950116785	5	TRUE	5	1	5	0	2	0	0	2	0	0	2	2	0	4	2	10	0	0	0
"dlbcl_ricover_1018"	0.509316062510893	5	TRUE	5	0	15	3	1	0	0	0	0	1	1	0	0	5	6	13	0	0	0
"dlbcl_ricover_694"	0.509652755970845	5	FALSE	1	0	0	0	0	0	0	2	0	0	0	0	0	2	0	2	0	0	0
"dlbcl_ls3499"	0.509964549373017	5	TRUE	5	0	3	0	2	0	0	2	0	0	0	0	0	5	2	7	0	0	0
"dlbcl_ricover_711"	0.512838901698951	5	TRUE	5	0	11	0	2	0	0	0	0	1	0	0	0	6	2	10	0	0	0
"dlbcl_ricover_597"	0.521566237224089	5	TRUE	5	0	4	2	0	0	1	0	0	1	0	0	0	8	2	12	2	0	6
"dlbcl_ricover_1299"	0.545461492117272	5	TRUE	5	0	3	2	0	0	1	0	0	0	0	0	0	2	2	8	0	0	2
"dlbcl_ricover_1278"	0.548476841323483	5	FALSE	4	0	1	3	0	0	1	0	1	2	0	0	0	7	0	10	0	2	3
"dlbcl_ricover_692"	0.579093153057404	5	TRUE	5	0	6	1	2	0	0	2	0	0	2	2	0	7	4	17	0	0	2
"dlbcl_ls2264"	0.59669932114487	5	TRUE	5	0	0	2	0	0	1	0	0	0	0	0	0	4	2	6	0	0	2
"dlbcl_ls3866"	0.596777778448758	5	FALSE	1	0	1	0	0	0	0	0	0	0	0	2	0	2	2	4	0	0	0
"dlbcl_ricover_151"	0.604532276621882	5	TRUE	5	1	9	1	1	0	0	0	0	3	2	0	0	4	2	11	0	0	0
"dlbcl_bwh_dlbcl64"	0.605781240782443	5	FALSE	1	0	8	0	2	0	0	0	0	0	0	0	2	6	4	10	0	0	0
"dlbcl_mayo_dlbcl_3653"	0.615097643859302	5	TRUE	5	0	1	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	2
"dlbcl_c_d_1153_nullpair"	0.616785216696796	5	TRUE	5	0	7	2	0	0	1	0	0	0	0	0	0	8	2	10	0	0	0
"dlbcl_ls951"	0.687279573521866	5	TRUE	5	1	5	0	1	0	0	2	0	0	1	0	0	0	6	6	0	0	0
"dlbcl_dfci_dlbcl_goe08"	0.713337744495365	5	TRUE	5	0	1	0	0	0	0	4	0	0	0	2	0	4	4	10	0	0	0
"dlbcl_ricover_274"	0.737452720030885	5	TRUE	5	0	6	0	0	0	0	0	0	2	0	0	0	10	2	14	2	0	2
"dlbcl_ricover_1045"	0.739583897309824	5	TRUE	5	0	2	2	0	0	0	2	0	0	0	0	0	2	6	10	0	2	2
"dlbcl_ricover_148"	0.748121045996411	5	TRUE	5	0	5	0	0	0	0	0	0	1	0	0	0	0	6	8	0	0	0
"dlbcl_ricover_342"	0.748703610568048	5	TRUE	5	0	1	0	0	0	0	0	0	0	2	0	0	0	2	4	0	0	0
"dlbcl_c_d_1109_nullpair"	0.760921469012274	5	TRUE	5	0	1	0	1	0	0	4	0	0	0	0	0	5	2	8	0	0	0
"dlbcl_mc_f139_ad"	0.762282782552355	5	FALSE	1	0	1	0	0	0	0	2	0	2	2	2	0	4	0	12	0	0	0
"dlbcl_ricover_985"	0.847028037310758	5	TRUE	5	0	5	0	1	0	0	0	0	0	0	0	0	0	8	11	0	0	0
"dlbcl_ricover_910"	0.848341637763077	5	FALSE	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0
"dlbcl_c_d_1148_nullpair"	0.873398341909251	5	TRUE	5	0	4	0	2	0	0	2	0	0	4	0	0	2	9	12	0	0	0
