"maxVal"	"cluster"	"correct"	"trueCluster"	"SV.TP63"	"SV.BCL6"	"BLC10.NOTCH2.A20.SPEN"	"B2M.CD70.PD1.FAS.com"	"X21Q.AMP"	"GENOME_DOUBLING"	"Sum.CNAs.C2"	"TP53.biallelic"	"BCL2.comp"	"Chrom.Mod.Enzymes"	"Pi3K.Mod"	"Hist.comp"	"NFKBalt.RASalt.JAK.STAT.alt.RHOA.SGK1.KLH6.cd58.cd83"	"SumC4.mut"	"X18Q.AMP"	"MYD88.L265"	"sumCNAs.C5"	"MYD88.OTHER"	"X2P16.1.AMP"	"CD79B.MYD88.TBL1XR1.BLIMP.ETV6.ZC3H12A"	"X9p21.3.DEL"	"COO..GCB.1.unclass.2.ABC.3.na."
"dlbcl_c_d_1108_nullpair"	0.513314755493173	3	TRUE	3	0	0	0	0	1	3	11	2	0	0	0	0	0	1	1	0	6	0	0	0	0	"3"
"dlbcl_ricover_780"	0.551554144662267	3	TRUE	3	0	0	0	0	0	0	14	3	2	2	2	2	2	4	0	0	3	0	2	0	0	"1"
"dlbcl_ricover_408"	0.553838612290509	3	FALSE	5	0	0	0	0	2	0	7	0	0	0	2	0	2	4	0	0	2	0	2	0	0	"1"
"dlbcl_ls2089"	0.554653449295883	3	TRUE	3	0	0	0	0	0	3	18	3	0	0	0	0	0	0	2	2	5	0	0	4	0	"3"
"dlbcl_mc_f739_ama3"	0.597601575508303	3	TRUE	3	0	0	0	0	2	3	24	3	5	4	2	3	2	5	1	0	2	0	0	0	1	"1"
"dlbcl_c_d_1146_nullpair"	0.624475508220025	3	FALSE	1	3	0	0	1	0	3	9	0	0	0	0	1	2	5	0	0	0	0	2	0	0	"1"
"dlbcl_ls1921"	0.624937059132846	3	TRUE	3	0	0	0	0	1	0	20	1	3	0	2	2	4	8	0	0	0	0	2	0	0	"1"
"dlbcl_ricover_320"	0.655815620899375	3	FALSE	2	0	0	0	0	1	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	"1"
"dlbcl_mc_f990_mna"	0.669732415414536	3	TRUE	3	0	0	1	0	0	3	23	1	0	0	0	0	2	2	0	2	3	0	1	6	1	"3"
"dlbcl_c_d_1118_nullpair"	0.671160863118373	3	TRUE	3	0	3	0	0	0	0	11	0	0	0	0	0	0	2	0	0	0	0	2	1	1	"1"
"dlbcl_ls88"	0.679033430101001	3	TRUE	3	0	0	0	0	0	0	10	3	3	0	0	0	0	0	0	0	3	0	0	0	1	"3"
"dlbcl_mc_f729_man"	0.680752882126336	3	TRUE	3	0	0	0	0	0	0	7	2	0	1	0	1	0	1	0	0	1	0	0	0	1	"3"
"dlbcl_mc_f089_hcz"	0.68830362348838	3	TRUE	3	0	0	0	0	1	0	16	2	2	2	0	0	4	4	0	0	1	0	0	2	1	"1"
"dlbcl_ricover_1072"	0.696855935470294	3	TRUE	3	0	0	0	0	0	0	19	0	0	0	0	2	4	8	0	0	1	2	1	2	1	"1"
"dlbcl_ricover_1235"	0.738970150774353	3	TRUE	3	0	0	2	0	2	3	21	3	5	3	1	0	0	2	1	0	1	0	2	0	0	"2"
"dlbcl_ls3204"	0.742259434616587	3	TRUE	3	0	0	0	2	1	3	12	0	0	0	0	2	2	4	0	0	0	0	1	0	0	"1"
"dlbcl_ricover_335"	0.743082079968383	3	TRUE	3	0	0	0	0	1	3	22	3	0	0	0	4	4	8	0	0	1	0	2	0	1	"1"
"dlbcl_ricover_533"	0.765908240398654	3	TRUE	3	0	0	0	0	1	3	21	0	0	0	2	0	6	6	1	0	2	0	1	0	0	"1"
"dlbcl_ricover_126"	0.766271346906286	3	TRUE	3	0	0	0	0	2	3	20	3	5	2	2	0	0	0	0	0	1	0	2	0	1	"1"
"dlbcl_ls3309"	0.770718582565028	3	TRUE	3	0	0	0	0	0	3	23	3	5	4	3	0	0	0	0	0	2	0	1	0	0	"1"
"dlbcl_mayo_dlbcl_7359"	0.787387473418431	3	TRUE	3	0	0	0	3	1	3	21	3	0	0	0	1	0	3	1	0	6	0	2	0	0	"2"
"dlbcl_ricover_839"	0.841773433811543	3	TRUE	3	0	0	0	0	1	0	8	3	0	0	0	0	2	2	0	0	0	0	0	0	1	"2"
"dlbcl_ricover_299"	0.845131153211015	3	TRUE	3	0	0	0	0	1	3	26	1	5	4	2	0	0	0	1	0	3	0	2	1	1	"1"
"dlbcl_ricover_623"	0.893365426760233	3	TRUE	3	0	0	0	0	1	0	14	1	0	2	0	0	0	4	0	0	2	0	2	0	0	"1"
"dlbcl_ls2258"	0.921519656912193	3	TRUE	3	0	0	0	0	0	0	9	3	0	0	0	0	0	0	0	0	0	0	0	0	0	"3"
"dlbcl_ls146"	0.971156071607622	3	TRUE	3	0	0	2	0	1	3	21	3	0	0	1	0	2	2	1	0	5	0	2	0	0	"1"
"dlbcl_ricover_174"	0.974569786755084	3	TRUE	3	0	0	2	2	1	3	21	3	0	0	1	0	0	0	0	0	1	0	0	0	0	"3"
"dlbcl_ls3749"	0.981252471663732	3	TRUE	3	0	0	0	0	1	3	22	0	0	0	1	2	0	4	0	0	2	0	2	0	1	"1"
"dlbcl_ricover_288"	0.999987016549746	3	TRUE	3	0	0	0	0	1	3	19	2	0	0	0	2	0	3	0	0	1	0	2	0	1	"3"
"dlbcl_ricover_253"	0.999999977739482	3	TRUE	3	0	3	0	0	0	3	27	3	0	2	0	0	0	0	0	0	1	0	1	0	1	"1"
"dlbcl_c_d_1138_nullpair"	0.424803236591946	4	FALSE	5	0	0	0	0	0	0	3	0	0	0	4	4	0	4	1	0	4	0	0	0	0	"1"
"dlbcl_ricover_111"	0.489028090179554	4	FALSE	2	0	0	2	0	0	0	3	0	0	2	2	0	0	0	1	0	2	0	1	1	0	"2"
"dlbcl_mc_f927_jhs"	0.502620120566701	4	FALSE	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"3"
"dlbcl_ricover_506"	0.534045916906867	4	TRUE	4	0	0	0	0	0	0	11	0	0	0	1	0	0	0	1	0	5	0	1	2	1	"3"
"dlbcl_ls3809"	0.534686435866421	4	FALSE	1	0	3	0	2	1	0	3	0	0	0	0	0	0	0	1	0	2	0	0	4	0	"3"
"dlbcl_ricover_822"	0.538489379072219	4	FALSE	3	0	0	0	0	0	0	10	2	0	2	0	2	0	2	2	0	6	0	1	0	1	"3"
"dlbcl_ricover_431"	0.568112667746574	4	TRUE	4	0	0	0	0	0	0	6	0	0	0	0	2	2	8	0	2	3	0	0	4	0	"3"
"dlbcl_ricover_1190"	0.574121069545224	4	TRUE	4	0	3	0	0	0	0	2	0	0	2	0	0	0	0	1	0	4	0	0	0	0	"3"
"dlbcl_ls762"	0.589594971918014	4	FALSE	2	0	0	0	0	0	0	0	0	0	2	0	0	2	2	1	0	2	0	0	0	0	"2"
"dlbcl_ricover_763"	0.590065260603495	4	TRUE	4	0	0	0	0	0	0	9	1	0	0	0	0	2	2	1	0	4	0	0	2	0	"3"
"dlbcl_ricover_1032"	0.619474807826593	4	TRUE	4	0	0	0	0	0	0	11	3	0	0	0	2	2	4	0	2	4	0	0	6	0	"3"
"dlbcl_ricover_1165"	0.619550554494151	4	FALSE	3	0	0	0	0	0	0	6	3	0	2	0	0	0	0	0	0	2	2	0	2	0	"3"
