"maxVal"	"cluster"	"correct"	"trueCluster"	"SV.TP63"	"SV.BCL6"	"BLC10.NOTCH2.A20.SPEN"	"B2M.CD70.PD1.FAS.com"	"X21Q.AMP"	"GENOME_DOUBLING"	"Sum.CNAs.C2"	"TP53.biallelic"	"BCL2.comp"	"Chrom.Mod.Enzymes"	"Pi3K.Mod"	"Hist.comp"	"NFKBalt.RASalt.JAK.STAT.alt.RHOA.SGK1.KLH6.cd58.cd83"	"SumC4.mut"	"X18Q.AMP"	"MYD88.L265"	"sumCNAs.C5"	"MYD88.OTHER"	"X2P16.1.AMP"	"CD79B.MYD88.TBL1XR1.BLIMP.ETV6.ZC3H12A"	"X9p21.3.DEL"
"dlbcl_c_d_1114_nullpair"	0.843935695718928	1	TRUE	1	0	3	0	2	0	0	2	0	0	0	0	4	0	4	0	0	0	2	0	2	0
"dlbcl_c_d_1155_nullpair"	0.860241038056518	1	TRUE	1	0	3	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0
"dlbcl_ls378"	0.863288572299521	1	TRUE	1	0	3	2	2	0	0	3	0	0	2	0	3	0	3	0	0	0	2	0	2	0
"dlbcl_ls2978"	0.873784170197323	1	TRUE	1	3	3	0	4	0	0	6	2	0	0	0	4	0	4	0	0	0	2	2	2	0
"dlbcl_mayo_dlbcl_5613"	0.940584100187833	1	TRUE	1	0	3	2	2	0	0	3	0	0	0	0	0	2	2	0	0	2	0	0	0	0
"dlbcl_c_d_1123_nullpair"	0.956464737054989	1	TRUE	1	0	3	4	5	0	0	6	0	0	0	0	2	0	4	0	0	1	0	0	0	0
"dlbcl_ricover_290"	0.999999999999987	1	TRUE	1	0	3	3	4	0	0	2	0	0	1	0	2	0	2	0	0	1	2	1	2	0
"dlbcl_c_d_1128_nullpair"	1	1	TRUE	1	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"dlbcl_ricover_1046"	0.449961177455136	2	TRUE	2	0	0	0	0	0	0	12	3	3	4	1	0	0	0	1	0	3	0	0	0	0
"dlbcl_ls2328"	0.460008002558502	2	FALSE	3	0	0	0	2	1	0	16	3	3	4	3	4	0	4	0	0	0	0	0	0	0
"dlbcl_c_d_1110_nullpair"	0.488569103160168	2	TRUE	2	0	0	4	0	0	0	3	0	5	2	0	5	1	6	1	0	2	0	0	0	0
"dlbcl_mc_f815_bat"	0.513405024688467	2	TRUE	2	3	0	0	0	0	0	6	0	5	2	0	1	4	7	0	0	1	2	2	3	0
"dlbcl_ricover_866"	0.527801437163631	2	FALSE	5	0	0	0	0	0	0	10	0	5	6	8	6	8	20	0	0	0	0	2	0	0
"dlbcl_ls4619"	0.535625132184773	2	TRUE	2	0	0	0	0	0	0	6	0	5	0	0	2	2	4	0	0	0	0	1	2	1
"dlbcl_ls2245"	0.547144419697233	2	TRUE	2	0	3	0	2	0	0	11	1	5	4	0	0	4	4	0	0	1	0	1	0	0
"dlbcl_ricover_384"	0.588943394724049	2	TRUE	2	0	0	0	0	0	0	15	0	2	4	7	2	0	2	0	0	0	0	1	0	1
"dlbcl_ricover_269"	0.608223150641649	2	TRUE	2	0	0	0	0	0	0	7	0	5	2	0	0	4	4	1	0	2	0	0	0	0
"dlbcl_c_d_1162_nullpair"	0.624257313620363	2	TRUE	2	0	0	0	0	0	0	2	0	0	2	2	1	2	3	0	0	0	0	0	0	0
"dlbcl_ricover_577"	0.628568210507354	2	TRUE	2	0	0	2	0	0	0	3	0	0	6	3	2	0	2	2	0	4	0	0	0	0
"dlbcl_mc_f606_dmj"	0.628752657265164	2	TRUE	2	0	0	0	0	1	0	8	1	5	2	1	0	0	0	0	0	0	0	0	0	1
"dlbcl_ricover_463"	0.632539052157012	2	TRUE	2	0	0	0	0	0	0	3	0	0	2	2	0	2	2	0	0	0	0	1	0	0
"dlbcl_mc_f362_mjb1"	0.646754311697563	2	TRUE	2	0	0	0	0	0	0	8	1	3	4	0	0	0	2	0	0	0	0	0	2	1
"dlbcl_mc_f344_cjs"	0.714812584711272	2	TRUE	2	0	0	0	0	0	0	6	0	5	4	5	0	6	8	0	0	0	2	1	2	0
"dlbcl_ls2599"	0.718790062680831	2	TRUE	2	0	0	0	2	0	0	4	0	5	0	4	0	2	6	0	0	0	0	0	0	0
"dlbcl_ls3615"	0.723746919971524	2	TRUE	2	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0
"dlbcl_c_d_1141_nullpair"	0.761656997234373	2	TRUE	2	0	0	2	0	2	0	6	0	5	4	2	0	0	0	2	0	3	0	2	0	0
"dlbcl_ls297"	0.789698526483882	2	TRUE	2	0	0	0	0	0	0	4	0	5	4	3	2	2	6	0	0	1	0	0	0	0
"dlbcl_ls1395"	0.824299813544281	2	TRUE	2	0	0	0	0	0	0	6	3	4	4	0	0	2	2	0	0	0	0	0	0	0
"dlbcl_c_d_1113_nullpair"	0.829181570451006	2	TRUE	2	0	0	0	0	0	0	2	0	0	2	2	0	0	0	0	0	0	0	1	0	0
"dlbcl_ls4616"	0.830761900068201	2	TRUE	2	0	0	0	0	0	0	6	3	5	4	0	0	4	4	0	0	0	0	0	0	0
"dlbcl_mc_f358_wds"	0.873837025802714	2	TRUE	2	0	0	0	0	0	0	3	0	5	4	3	4	0	4	0	0	0	0	0	0	0
"dlbcl_ricover_469"	0.94388139885116	2	TRUE	2	0	0	2	2	0	0	2	0	5	4	2	0	0	0	0	0	0	0	0	0	0
"dlbcl_c_d_1127_nullpair"	1	2	TRUE	2	0	0	0	0	0	0	4	0	5	4	3	0	0	0	0	0	0	0	0	0	0
"dlbcl_ls1620"	1	2	TRUE	2	0	0	0	0	0	0	1	0	5	6	5	0	0	0	0	0	0	0	0	0	0
"dlbcl_mc_f959_erm"	0.37724494001984	3	TRUE	3	0	3	0	3	0	3	15	2	0	2	0	2	0	2	2	2	6	0	2	2	0
"dlbcl_c_d_1154_nullpair"	0.492559053444783	3	FALSE	1	3	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"dlbcl_ricover_780"	0.51011693675945	3	TRUE	3	0	0	0	0	0	0	14	3	2	2	2	2	2	4	0	0	3	0	2	0	0
"dlbcl_mc_f210_gwc"	0.520046626262629	3	TRUE	3	0	0	0	0	0	0	7	0	0	0	0	2	2	4	1	0	1	0	1	0	0
"dlbcl_ls2089"	0.527387887926262	3	TRUE	3	0	0	0	0	0	3	18	3	0	0	0	0	0	0	2	2	5	0	0	4	0
"dlbcl_c_d_1108_nullpair"	0.532428101553667	3	TRUE	3	0	0	0	0	1	3	11	2	0	0	0	0	0	1	1	0	6	0	0	0	0
"dlbcl_ricover_408"	0.544225528505064	3	FALSE	5	0	0	0	0	2	0	7	0	0	0	2	0	2	4	0	0	2	0	2	0	0
"dlbcl_c_d_1131_nullpair"	0.584116623860361	3	TRUE	3	0	0	2	0	0	0	11	2	0	2	0	0	0	0	0	2	0	0	0	4	0
"dlbcl_mc_f739_ama3"	0.589225852221054	3	TRUE	3	0	0	0	0	2	3	24	3	5	4	2	3	2	5	1	0	2	0	0	0	1
"dlbcl_c_d_1146_nullpair"	0.595717716359891	3	FALSE	1	3	0	0	1	0	3	9	0	0	0	0	1	2	5	0	0	0	0	2	0	0
"dlbcl_ls1921"	0.619514956990807	3	TRUE	3	0	0	0	0	1	0	20	1	3	0	2	2	4	8	0	0	0	0	2	0	0
"dlbcl_mc_f990_mna"	0.63468326743318	3	TRUE	3	0	0	1	0	0	3	23	1	0	0	0	0	2	2	0	2	3	0	1	6	1
"dlbcl_c_d_1118_nullpair"	0.642030503132176	3	TRUE	3	0	3	0	0	0	0	11	0	0	0	0	0	0	2	0	0	0	0	2	1	1
"dlbcl_mc_f089_hcz"	0.683280201706771	3	TRUE	3	0	0	0	0	1	0	16	2	2	2	0	0	4	4	0	0	1	0	0	2	1
"dlbcl_ricover_1072"	0.695148524494389	3	TRUE	3	0	0	0	0	0	0	19	0	0	0	0	2	4	8	0	0	1	2	1	2	1
"dlbcl_ls3204"	0.699742712089956	3	TRUE	3	0	0	0	2	1	3	12	0	0	0	0	2	2	4	0	0	0	0	1	0	0
"dlbcl_ricover_320"	0.706126332544203	3	FALSE	2	0	0	0	0	1	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0
"dlbcl_mayo_dlbcl_7359"	0.720156486525396	3	TRUE	3	0	0	0	3	1	3	21	3	0	0	0	1	0	3	1	0	6	0	2	0	0
"dlbcl_ricover_1235"	0.734398066086657	3	TRUE	3	0	0	2	0	2	3	21	3	5	3	1	0	0	2	1	0	1	0	2	0	0
"dlbcl_ricover_335"	0.740671313476049	3	TRUE	3	0	0	0	0	1	3	22	3	0	0	0	4	4	8	0	0	1	0	2	0	1
"dlbcl_ls3309"	0.757815985678695	3	TRUE	3	0	0	0	0	0	3	23	3	5	4	3	0	0	0	0	0	2	0	1	0	0
"dlbcl_ricover_126"	0.75932972737824	3	TRUE	3	0	0	0	0	2	3	20	3	5	2	2	0	0	0	0	0	1	0	2	0	1
"dlbcl_ricover_533"	0.768567811709406	3	TRUE	3	0	0	0	0	1	3	21	0	0	0	2	0	6	6	1	0	2	0	1	0	0
"dlbcl_ls88"	0.780901348796688	3	TRUE	3	0	0	0	0	0	0	10	3	3	0	0	0	0	0	0	0	3	0	0	0	1
"dlbcl_ricover_299"	0.829860910063578	3	TRUE	3	0	0	0	0	1	3	26	1	5	4	2	0	0	0	1	0	3	0	2	1	1
"dlbcl_ricover_839"	0.846435476552725	3	TRUE	3	0	0	0	0	1	0	8	3	0	0	0	0	2	2	0	0	0	0	0	0	1
"dlbcl_ricover_623"	0.873233321958549	3	TRUE	3	0	0	0	0	1	0	14	1	0	2	0	0	0	4	0	0	2	0	2	0	0
"dlbcl_ls146"	0.87794262248172	3	TRUE	3	0	0	2	0	1	3	21	3	0	0	1	0	2	2	1	0	5	0	2	0	0
"dlbcl_ls3749"	0.9731730750973	3	TRUE	3	0	0	0	0	1	3	22	0	0	0	1	2	0	4	0	0	2	0	2	0	1
"dlbcl_ricover_253"	0.982454143895951	3	TRUE	3	0	3	0	0	0	3	27	3	0	2	0	0	0	0	0	0	1	0	1	0	1
"dlbcl_mc_f729_man"	0.993107068262067	3	TRUE	3	0	0	0	0	0	0	7	2	0	1	0	1	0	1	0	0	1	0	0	0	1
"dlbcl_ricover_174"	0.998074395073551	3	TRUE	3	0	0	2	2	1	3	21	3	0	0	1	0	0	0	0	0	1	0	0	0	0
"dlbcl_ricover_288"	0.999999999699514	3	TRUE	3	0	0	0	0	1	3	19	2	0	0	0	2	0	3	0	0	1	0	2	0	1
"dlbcl_ricover_1169"	1	3	TRUE	3	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"dlbcl_c_d_1111_nullpair"	1	3	TRUE	3	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"dlbcl_mc_f927_jhs"	1	3	FALSE	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"dlbcl_ls2258"	1	3	TRUE	3	0	0	0	0	0	0	9	3	0	0	0	0	0	0	0	0	0	0	0	0	0
"dlbcl_c_d_1138_nullpair"	0.473143584820765	4	FALSE	5	0	0	0	0	0	0	3	0	0	0	4	4	0	4	1	0	4	0	0	0	0
"dlbcl_ricover_111"	0.483837709802712	4	FALSE	2	0	0	2	0	0	0	3	0	0	2	2	0	0	0	1	0	2	0	1	1	0
"dlbcl_ls762"	0.492106747416542	4	FALSE	2	0	0	0	0	0	0	0	0	0	2	0	0	2	2	1	0	2	0	0	0	0
"dlbcl_ricover_506"	0.534447591754138	4	TRUE	4	0	0	0	0	0	0	11	0	0	0	1	0	0	0	1	0	5	0	1	2	1
"dlbcl_ricover_822"	0.537884185295111	4	FALSE	3	0	0	0	0	0	0	10	2	0	2	0	2	0	2	2	0	6	0	1	0	1
"dlbcl_ricover_1165"	0.560235196323452	4	FALSE	3	0	0	0	0	0	0	6	3	0	2	0	0	0	0	0	0	2	2	0	2	0
"dlbcl_ricover_431"	0.570019672957217	4	TRUE	4	0	0	0	0	0	0	6	0	0	0	0	2	2	8	0	2	3	0	0	4	0
"dlbcl_ricover_763"	0.581130422886718	4	TRUE	4	0	0	0	0	0	0	9	1	0	0	0	0	2	2	1	0	4	0	0	2	0
"dlbcl_ricover_1190"	0.599941503435612	4	TRUE	4	0	3	0	0	0	0	2	0	0	2	0	0	0	0	1	0	4	0	0	0	0
"dlbcl_ricover_1060"	0.620386551468121	4	FALSE	3	0	0	0	2	0	0	4	0	0	0	0	0	0	0	1	0	3	0	0	0	0
"dlbcl_ls3809"	0.637061013616691	4	FALSE	1	0	3	0	2	1	0	3	0	0	0	0	0	0	0	1	0	2	0	0	4	0
"dlbcl_ricover_1032"	0.643548614936793	4	TRUE	4	0	0	0	0	0	0	11	3	0	0	0	2	2	4	0	2	4	0	0	6	0
"dlbcl_c_d_1163_nullpair"	0.671834770075088	4	TRUE	4	0	0	0	0	0	0	0	0	0	0	0	2	2	6	0	2	2	0	0	8	0
"dlbcl_ricover_850"	0.709651081737927	4	TRUE	4	0	0	0	0	1	0	7	0	0	0	0	0	0	2	0	0	2	2	1	6	0
"dlbcl_ricover_478"	0.714986362601941	4	FALSE	1	0	0	2	0	0	0	6	0	0	0	0	0	0	0	1	0	4	2	0	2	0
"dlbcl_c_d_1120_nullpair"	0.746760495657694	4	TRUE	4	0	0	0	0	0	0	3	0	0	2	0	0	0	0	1	0	2	0	0	2	0
"dlbcl_ls1683"	0.761510972822311	4	TRUE	4	0	0	0	0	0	0	6	2	0	2	0	0	2	2	2	0	6	0	1	2	0
"dlbcl_ricover_585"	0.761656578674113	4	TRUE	4	0	3	0	3	0	0	5	0	0	0	0	0	2	3	1	2	7	0	0	6	1
"dlbcl_mc_f339_jps2"	0.763047762072019	4	TRUE	4	0	0	0	5	0	0	2	0	0	0	0	1	0	1	1	0	4	0	0	4	0
"dlbcl_c_d_1144_nullpair"	0.772268628305348	4	TRUE	4	0	0	0	0	0	0	1	2	0	0	0	1	2	3	1	0	3	0	0	4	0
"dlbcl_ricover_467"	0.774894251615409	4	TRUE	4	3	0	0	3	0	3	12	3	0	2	0	0	0	0	2	0	8	0	0	6	0
"dlbcl_ricover_1106"	0.781034634883223	4	TRUE	4	0	0	0	0	0	0	5	0	0	0	0	4	0	8	2	2	8	0	0	6	0
"dlbcl_ricover_773"	0.781667586179934	4	TRUE	4	0	0	0	0	0	0	4	0	0	4	0	0	0	0	1	2	3	0	0	4	0
"dlbcl_mc_f089_mlb"	0.785036287842075	4	TRUE	4	0	0	0	0	0	0	1	0	0	0	0	2	0	2	0	0	4	0	0	0	0
"dlbcl_ls4085"	0.79899637128919	4	TRUE	4	0	0	0	0	0	0	4	0	0	2	0	0	0	1	1	0	4	0	0	2	0
"dlbcl_ricover_583"	0.821194796357026	4	TRUE	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	5	0	0	0	0
"dlbcl_ricover_173"	0.832692669407307	4	TRUE	4	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	2	0	0	0	6	0
"dlbcl_ricover_1248"	0.851900096033881	4	TRUE	4	0	3	2	0	0	0	6	0	0	0	0	0	2	2	2	2	9	0	0	4	0
"dlbcl_c_d_1142_nullpair"	0.862249868080264	4	TRUE	4	0	0	0	0	0	0	3	1	0	0	0	0	2	2	2	0	6	0	0	0	0
"dlbcl_ricover_685"	0.881733186324682	4	TRUE	4	0	0	0	0	0	0	6	0	0	0	0	0	0	2	0	2	1	0	0	8	0
"dlbcl_c_d_1104_nullpair"	0.91522345787954	4	TRUE	4	0	0	0	0	0	0	4	3	0	0	0	0	0	0	1	2	3	0	0	4	0
"dlbcl_ricover_712"	0.935681654382761	4	TRUE	4	0	0	0	0	0	0	2	0	0	0	0	2	0	2	1	0	5	0	0	2	0
"dlbcl_ls2208"	0.942834275159867	4	TRUE	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0
"dlbcl_ricover_134"	0.95459898115319	4	TRUE	4	0	0	0	0	0	0	5	1	0	2	0	0	2	2	2	2	8	0	0	4	0
"dlbcl_ricover_720"	0.992277193632526	4	TRUE	4	0	3	0	0	0	0	6	0	0	0	0	0	0	0	1	2	6	0	0	6	0
"dlbcl_ricover_417"	0.999795391184211	4	TRUE	4	3	0	0	0	0	0	4	0	0	0	0	0	0	0	1	2	3	0	0	6	0
"dlbcl_ls1304"	0.999999952467919	4	TRUE	4	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	4	0
"dlbcl_c_d_1125_nullpair"	1	4	TRUE	4	0	0	0	0	0	0	3	0	1	0	0	0	0	2	1	2	6	0	0	6	0
"dlbcl_c_d_1140_nullpair"	1	4	TRUE	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
"dlbcl_mc_f519_alt"	1	4	TRUE	4	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	5	0	0	2	1
"dlbcl_ricover_216"	1	4	FALSE	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0
"dlbcl_ricover_215"	1	4	TRUE	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0
"dlbcl_ricover_704"	1	4	TRUE	4	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	2	0
"dlbcl_ricover_1287"	1	4	TRUE	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	3	0	0	0	0
"dlbcl_ricover_99"	1	4	TRUE	4	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	4	2	0	4	0
"dlbcl_ricover_1081"	0.365220356103417	5	TRUE	5	0	0	2	2	0	0	3	0	0	4	1	1	2	7	0	0	0	0	0	2	0
"dlbcl_ricover_711"	0.420315875726856	5	TRUE	5	0	3	0	0	0	0	11	1	0	0	0	6	2	10	0	0	0	0	2	0	0
"dlbcl_mayo_dlbcl_234"	0.443384661564669	5	FALSE	2	0	0	2	0	0	0	2	0	0	4	2	4	2	6	0	0	0	0	2	4	0
"dlbcl_ricover_1018"	0.514459126265641	5	TRUE	5	0	0	0	0	0	3	18	1	0	0	1	5	6	13	0	0	3	0	1	0	0
"dlbcl_bwh_dlbcl64"	0.525543175887249	5	FALSE	1	0	3	0	0	0	0	8	0	0	2	0	6	4	10	0	0	0	0	2	0	0
"dlbcl_ricover_597"	0.541003121877143	5	TRUE	5	0	0	0	0	0	0	4	1	0	0	0	8	2	12	1	2	2	0	0	6	0
"dlbcl_ls4054"	0.543458674401652	5	FALSE	3	0	0	0	0	0	0	3	0	0	0	0	0	2	2	0	0	0	0	0	0	1
"dlbcl_ricover_617"	0.543483655220432	5	TRUE	5	0	0	2	2	1	0	5	0	0	0	2	4	2	10	0	0	0	0	2	0	0
"dlbcl_ricover_197"	0.556255297633144	5	FALSE	2	0	0	0	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0
"dlbcl_mc_f139_ad"	0.55926101444637	5	FALSE	1	0	3	2	2	0	0	1	2	0	0	2	4	0	12	0	0	0	0	0	0	0
"dlbcl_mayo_dlbcl_3653"	0.612276931185873	5	TRUE	5	0	0	0	0	0	0	1	0	0	0	0	0	3	3	0	0	0	0	0	2	0
"dlbcl_c_d_1132_nullpair"	0.637777066181998	5	FALSE	1	0	0	2	2	0	0	1	0	0	0	0	0	2	5	0	0	0	0	0	0	0
"dlbcl_c_d_1153_nullpair"	0.656368235372214	5	TRUE	5	0	0	0	0	0	0	7	0	0	0	0	8	2	10	1	0	2	0	0	0	0
"dlbcl_c_d_1109_nullpair"	0.679360087017765	5	TRUE	5	0	0	0	4	0	0	1	0	0	0	0	5	2	8	0	0	0	0	1	0	0
"dlbcl_ls3387"	0.696000943843009	5	TRUE	5	0	0	1	2	0	0	2	0	5	2	4	10	4	16	0	0	0	0	0	0	0
"dlbcl_ls155"	0.697104152828983	5	FALSE	2	0	0	0	0	0	0	0	0	5	2	2	4	4	10	0	0	0	0	0	0	0
"dlbcl_ls3499"	0.70565353586956	5	TRUE	5	0	0	0	2	0	0	3	0	0	0	0	5	2	7	0	0	0	0	2	0	0
"dlbcl_c_d_1148_nullpair"	0.713904924647762	5	TRUE	5	0	3	0	5	0	0	4	0	0	0	4	2	9	12	0	0	0	0	2	0	0
"dlbcl_ls951"	0.723627937312413	5	TRUE	5	0	0	0	2	1	0	5	0	0	0	1	0	6	6	0	0	0	0	1	0	0
"dlbcl_c_d_1151_nullpair"	0.748554094164358	5	TRUE	5	0	3	0	2	1	0	3	3	0	0	4	3	8	13	0	0	0	0	0	1	0
"dlbcl_ricover_342"	0.770749015212836	5	TRUE	5	0	0	0	0	0	0	1	0	0	0	2	0	2	4	0	0	0	0	0	0	0
"dlbcl_ricover_274"	0.776066822342798	5	TRUE	5	0	0	0	0	0	0	6	2	0	0	0	10	2	14	0	2	0	0	0	2	0
"dlbcl_ricover_148"	0.792980258272304	5	TRUE	5	0	0	0	0	0	0	5	1	0	0	0	0	6	8	0	0	0	0	0	0	0
"dlbcl_ls3866"	0.848173440392846	5	FALSE	1	0	0	2	0	0	0	1	0	0	0	0	2	2	4	0	0	0	0	0	0	0
"dlbcl_ricover_985"	0.898855673277284	5	TRUE	5	0	0	0	0	0	0	5	0	0	0	0	0	8	11	0	0	0	0	1	0	0
"dlbcl_ricover_910"	0.911904607310782	5	FALSE	1	0	0	0	0	0	0	1	0	0	0	0	2	0	2	0	0	0	0	0	0	0
"dlbcl_mc_f139_ljf"	0.952071275629308	5	TRUE	5	0	0	0	2	1	0	6	0	0	2	0	4	14	23	0	0	0	0	1	2	0
"dlbcl_ricover_1138"	0.972947748029305	5	TRUE	5	0	0	2	4	0	0	2	0	0	0	0	4	12	17	0	0	0	0	0	0	0
"dlbcl_ls2590"	0.999914387930979	5	TRUE	5	0	0	0	0	0	0	2	0	0	2	0	3	4	11	0	0	1	0	0	0	0
"dlbcl_ls1899"	0.999999077751935	5	TRUE	5	0	0	0	0	0	0	2	0	0	0	0	1	2	7	0	0	0	0	0	0	0
"dlbcl_ricover_1247"	0.999999812055479	5	TRUE	5	0	0	0	0	0	0	0	0	0	0	0	3	4	9	0	0	0	0	0	2	0
"dlbcl_ricover_102"	1	5	TRUE	5	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0
"dlbcl_ricover_338"	1	5	TRUE	5	0	0	0	2	0	0	1	0	0	0	0	0	4	8	0	0	0	0	0	0	0
"dlbcl_ricover_361"	1	5	TRUE	5	0	0	0	0	0	0	0	0	0	0	0	0	6	8	0	0	0	0	0	0	0
"dlbcl_ricover_701"	1	5	TRUE	5	0	0	1	0	0	0	0	0	0	0	0	2	6	10	0	0	0	0	0	0	0
"dlbcl_ls2154"	1	5	FALSE	1	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0
"dlbcl_ls3271"	1	5	TRUE	5	0	0	0	0	0	0	1	0	0	0	0	7	6	17	0	0	0	0	0	2	0
